Epoch 0 Train results for TCGA-BRCA: accuracy: 35.455197704081634 recall: 35.455197704081634  precision: 27.439767146013576 fmeasure: 0.26868756212775885 mcc: -0.023192361965416568 loss: tensor(1.0973, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-KIRC: accuracy: 48.83018952323277 recall: 48.83018952323277  precision: 42.60265710079887 fmeasure: 0.38984653203513103 mcc: 0.29450703719202714 loss: tensor(1.0423, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-KIRP: accuracy: 39.89453125 recall: 39.89453125  precision: 25.92943027375428 fmeasure: 0.2768836463575447 mcc: 0.30032108858504347 loss: tensor(1.0592, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-LIHC: accuracy: 48.756586119186046 recall: 48.756586119186046  precision: 29.610887878675793 fmeasure: 0.3363685146383471 mcc: 0.013020275563896015 loss: tensor(1.0555, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-LUAD: accuracy: 42.532072368421055 recall: 42.532072368421055  precision: 23.807718148350347 fmeasure: 0.27689486889542303 mcc: 0.028903911712495595 loss: tensor(1.0673, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-LUSC: accuracy: 66.80333924349881 recall: 66.80333924349881  precision: 49.25781564274591 fmeasure: 0.5594907969344284 mcc: 0.5422893913573618 loss: tensor(0.8931, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-PRAD: accuracy: 43.412013709866415 recall: 43.412013709866415  precision: 48.175754453763965 fmeasure: 0.3449113189886137 mcc: 0.3448996510288196 loss: tensor(1.0271, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-THCA: accuracy: 41.13881486323411 recall: 41.13881486323411  precision: 70.29187401679309 fmeasure: 0.47607503282123864 mcc: 0.16970235148526971 loss: tensor(1.0071, grad_fn=<DivBackward0>)
Epoch 0 Train results for TCGA-UCEC: accuracy: 29.998553240740744 recall: 29.998553240740744  precision: 18.52028533165098 fmeasure: 0.18891097473289112 mcc: -0.03898947682291745 loss: tensor(1.0921, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-BRCA: accuracy: 53.04395195578231 recall: 53.04395195578231  precision: 52.276965796291556 fmeasure: 0.45260131585056296 mcc: 0.3735658277103265 loss: tensor(0.9972, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-KIRC: accuracy: 66.70921878440872 recall: 66.70921878440872  precision: 72.38455220101821 fmeasure: 0.6603741360918641 mcc: 0.5246612610778674 loss: tensor(0.9131, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-KIRP: accuracy: 61.625 recall: 61.625  precision: 65.96727003430192 fmeasure: 0.583395034652756 mcc: 0.38631648865162205 loss: tensor(0.9254, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-LIHC: accuracy: 50.92489553052326 recall: 50.92489553052326  precision: 37.96033563119526 fmeasure: 0.379225472813712 mcc: 0.08546338141080545 loss: tensor(1.0037, grad_fn=<DivBackward0>)
Epoch 1 Train results for TCGA-LUAD: accuracy: 48.646929824561404 recall: 48.646929824561404  precision: 33.53014026488955 fmeasure: 0.36265875289619437 mcc: 0.33661658317420706 loss: tensor(1.0616, grad_fn=<DivBackward0>)
